N,M,CPU1,CPU2,GPU1,GPU2,CPU1/GPU1,CPU2/GPU1,CPU1/GPU2,CPU2/GPU2,GPU1/GPU2
4096.0,16.0,905.12,3.49,113.75,5.49,7.96,0.03,164.87,0.64,20.72
4096.0,32.0,909.28,4.71,112.49,4.31,8.08,0.04,210.97,1.09,26.1
4096.0,64.0,904.47,7.52,112.02,4.26,8.07,0.07,212.32,1.77,26.3
4096.0,128.0,900.72,13.09,112.52,4.37,8.0,0.12,206.11,3.0,25.75
4096.0,1024.0,957.0,91.57,112.75,4.7,8.49,0.81,203.62,19.48,23.99
4096.0,2048.0,1023.77,179.57,87.22,4.99,11.74,2.06,205.16,35.99,17.48
4096.0,4096.0,1127.7,358.52,88.39,6.47,12.76,4.06,174.3,55.41,13.66
4096.0,8192.0,1376.77,713.51,118.68,9.81,11.6,6.01,140.34,72.73,12.1
8192.0,16.0,,14.23,610.4,16.41,,0.02,,0.87,37.2
8192.0,32.0,,19.51,545.5,16.22,,0.04,,1.2,33.63
8192.0,64.0,,30.59,515.26,17.22,,0.06,,1.78,29.92
8192.0,128.0,,54.1,509.32,17.02,,0.11,,3.18,29.92
8192.0,1024.0,,368.41,507.68,17.7,,0.73,,20.81,28.68
8192.0,2048.0,,716.98,321.7,20.09,,2.23,,35.69,16.01
8192.0,4096.0,,1336.31,312.99,24.37,,4.27,,54.83,12.84
8192.0,8192.0,,2350.5,525.43,46.85,,4.47,,50.17,11.22
12288.0,16.0,,31.06,,35.9,,,,0.87,
12288.0,32.0,,44.31,,36.66,,,,1.21,
12288.0,64.0,,70.49,,36.28,,,,1.94,
12288.0,128.0,,120.6,,36.82,,,,3.28,
12288.0,1024.0,,796.74,,40.83,,,,19.51,
12288.0,2048.0,,1473.35,,43.84,,,,33.61,
12288.0,4096.0,,2599.41,,59.22,,,,43.89,
12288.0,8192.0,,4292.74,,110.24,,,,38.94,
16384.0,16.0,,56.75,,66.81,,,,0.85,
16384.0,32.0,,80.15,,64.92,,,,1.23,
16384.0,64.0,,123.88,,65.57,,,,1.89,
16384.0,128.0,,214.26,,61.48,,,,3.49,
16384.0,1024.0,,1370.86,,69.64,,,,19.68,
16384.0,2048.0,,2386.56,,83.03,,,,28.74,
16384.0,4096.0,,3884.06,,104.31,,,,37.24,
16384.0,8192.0,,,,212.38,,,,,
